2025-12-06 20:39:40,TCP,4194304,0.002794
2025-12-06 20:39:41,TCP,16777216,0.014463
2025-12-06 20:39:42,TCP,33554432,0.018162
2025-12-06 20:39:43,TCP,67108864,0.033341
2025-12-06 20:39:44,TCP,134217728,0.061039
2025-12-06 20:39:50,TCP,4194304,0.002639
2025-12-06 20:39:51,TCP,16777216,0.012731
2025-12-06 20:39:52,TCP,33554432,0.018738
2025-12-06 20:39:53,TCP,67108864,0.038996
2025-12-06 20:39:55,TCP,134217728,0.083522
2025-12-06 20:40:01,TCP,4194304,0.003022
2025-12-06 20:40:02,TCP,16777216,0.011429
2025-12-06 20:40:03,TCP,33554432,0.020802
2025-12-06 20:40:04,TCP,67108864,0.033661
2025-12-06 20:40:05,TCP,134217728,0.074055
2025-12-06 20:40:11,TCP,4194304,0.004743
2025-12-06 20:40:12,TCP,16777216,0.010712
2025-12-06 20:40:13,TCP,33554432,0.024009
2025-12-06 20:40:14,TCP,67108864,0.036044
2025-12-06 20:40:15,TCP,134217728,0.063887
2025-12-06 20:40:21,TCP,4194304,0.004642
2025-12-06 20:40:22,TCP,16777216,0.011883
2025-12-06 20:40:23,TCP,33554432,0.023042
2025-12-06 20:40:25,TCP,67108864,0.039134
2025-12-06 20:40:26,TCP,134217728,0.066688
